"","Tools","Plot type","Struggles","Proposed features"
"57","fieldtrip, custom matlab","Topoplot series","color mapping","generally improve the accessibility of the tools in the package"
"58","fieldtrip, custom matlab","Topoplot series","plotting the right time points","flexible setting of time points and intervals"
"59","fieldtrip, custom matlab","Topoplot series","-ay to do.","-"
"60","fieldtrip, custom matlab","Topoplot series","selecting a good time frame to make differences clearly visible but not overloading the plot","-"
"61","fieldtrip, custom matlab","Topoplot series","outputting handle","outputting handle"
"62","fieldtrip, custom matlab","Topoplot series","using the topography to plot sum of t-stat instead of voltage","plot model instead of data ; easily choose the time points or time windows series"
"63","fieldtrip, custom matlab","Topoplot series","-","adjust color bars easily"
"64","fieldtrip, custom matlab","Topoplot series","deal with the time dimension","representation of variance with time"
"65","fieldtrip, custom matlab","Topoplot series","picking the right time windows","exporting to a gif/movie"
"66","fieldtrip, custom matlab","Topoplot series","ft always asks for a range of timepoints, so for 0.5 s i always had to do 0.4:0.6 or something like that.","for fieldtrip, i want it to do it like mne-python, including the red/blue colour scale."
"67","fieldtrip, custom matlab","Topoplot series","deciding time intervals to amplify message","colorbar, statistically significant channels"
"68","fieldtrip, custom matlab","Topoplot series","having the same colormap over all plots, highlighting electrodes oi, changing the colormap","colorbar legend, range for each time point (e.g. -0295 - -0.305s), possibly highlighting some electrodes"
"69","fieldtrip, custom matlab","Topoplot series","getting the correct electrode layout
changing the colourmap","in case of plotting differences between conditions, i'd like to be able to easily highlight significant positive and negative electrodes/clusters in different colours"
"70","fieldtrip, custom matlab","ERP grid","exporting a publication quality figure","-"
"71","fieldtrip, custom matlab","ERP grid","scaling","size of erps"
"72","fieldtrip, custom matlab","ERP grid","proper scaling, i.e. labels tend to be too big, graphs themselves too small etc.","-"
"73","fieldtrip, custom matlab","ERP grid","honestly, this isn't a publication plot. it's used in the process of q checks and as overview of the data","-"
"74","fieldtrip, custom matlab","ERP grid","adding masks","shading of standard deviation"
"75","fieldtrip, custom matlab","ERP grid","it wasn't difficult but the gui is a bit slow in selecting channels to display closer.","-"
"76","fieldtrip, custom matlab","ERP grid","-","select a few electrodes and see the temporal response"
"77","fieldtrip, custom matlab","ERP grid","-","plotly interativity"
"78","fieldtrip, custom matlab","ERP grid","channel choice, scaling","overlap with over graphs"
"79","fieldtrip, custom matlab","ERP grid","working on the display of scales, fonts and legends","better formatting tools"
"80","fieldtrip, custom matlab","ERP grid","-","add confidence interval"
"81","fieldtrip, custom matlab","ERP grid","it was hard to optimize the space between the channels","fixing the previous one"
"82","fieldtrip, custom matlab","ERP grid","manipulating the montage distribution","creating a desired montage plot"
"83","fieldtrip, custom matlab","ERP grid","scaling","scaling"
"84","fieldtrip, custom matlab","ERP grid","-","being able to select a number of channels to show an average - by clicking on channels, not dragging a window"
"85","fieldtrip, custom matlab","ERP grid","make the plots larger to actually see something","would be cool to be able to annotate certain electrodes"
"86","fieldtrip, custom matlab","ERP grid","-","legend y axis values (at least min-max of the y-axis written once somewehre)"
"87","fieldtrip, custom matlab","ERP grid","the size - it takes a long time","-"
"88","fieldtrip, custom matlab","ERP grid","-","axis labeling"
"89","fieldtrip, custom matlab","ERP image","setting the color map","flexible sorting"
"90","fieldtrip, custom matlab","Channel image","-","add time zero vline
add transparency to highlight a toi"
