"","Tools","Plot type","Struggles","Proposed features"
"97","mne","Topoplot series","-","having a slider to scroll through the times instead of giving specific discrete time points"
"98","mne","Topoplot series","i had to do this with subplots, took a while to get the spacing right...;","could use some interaction to show all points in time, maybe when you move over the time axis it shows only one plot but exactly at that time?"
"99","mne","ERP grid","getting the overall amplitude scaling right","-"
"100","mne","ERP grid","-","to be able to select some electrodes and get the average (as in fieldtrip)"
"101","mne","ERP grid","everything too small to see correctly","easy zoom on one channel"
"102","mne","ERP grid","-","in mne - more fine-tuned control on scaling ad placement of the individual graphs within margins of to still reflecting topography to some extent"
"103","mne","ERP grid","-","color to represent significance or similar."
"104","mne","ERP grid","choose right references","-"
"105","mne","ERP grid","difficult when many channels","should be interactive, i.e. pick one channel, select time window, obtain topography"
"106","mne","ERP grid","individual plot sizes, plot positions, voltage scales","-"
"107","mne","ERP grid","arranging the resolution so single erps wont be too crowded or too small","confidence intervals"
"108","mne","ERP grid","not letting the subplots spread out too much.","more flexibility regarding the exact layout of the subplots. to move individual subplots to squeeze everything together a bit more."
"109","mne","ERP grid","fieldtrip: errorbars","fieldtrip: errorbars"
"110","mne","ERP grid","-","more interactive and possibility of plot certain regions only"
"111","mne","ERP grid","-","an easy way to manipulate the scale"
"112","mne","ERP grid","-","scale legend indicating the scale for the voltages and time period displayed"
"113","mne","ERP grid","-","dunno, i'm not using it often"
"114","mne","ERP grid","figuring out the dimensions and actual values within the plot","-"
"115","mne","ERP image","if the time between trials is important, but not constant, it's hard to make this plot accurately reflect it","more straightforward options for nonuniform yaxis"
"116","mne","ERP image","the preprocessing to have a meaningful scalogram.","being able to easily change frequency ranges to see different results."
"117","mne","ERP image","any, but i would like to have the chance to have epochs of different lenght","any, but i would like to have the chance to have epochs of different lenght"
"118","mne","ERP image","sorting trials according to arbitrary criteria","a way to flexibly sort trials"
"119","mne","Channel image","-","custom axes"
"120","mne","Channel image","to choose ideal colorbar palette","-"
"121","mne","Channel image","getting the list of channels in a good order so that adjacency is mapped efficiently","-"
